Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:56d8919392015a1a081f9141,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:56d8919392015a1a081f9141,Learning Path,2021-03-25 08:46 UTC,N/A,false,N/A,
Exploring a Career in User Experience Design,"Modern user experience designers understand modern design concepts. They also have the research and analysis skills to design effective, compelling digital experiences across mobile platforms, the web, and the Internet of Things. This path helps you build the foundation for a career in UX design.",Learning Path,2022-10-04 22:37 UTC,N/A,false,N/A,
Become a Full-Stack Web Developer,"Get the skills to work with both back-end and front-end technologies as a full-stack developer. You'll develop a solid foundation for working with servers and host configurations, performing database integrations, and creating dynamic, data-driven websites.",Learning Path,2023-04-26 18:51 UTC,N/A,false,N/A,
End-to-End JavaScript Testing with Cypress.io,"Learn how to set up quick, easy, and automatic JavaScript testing using Cypress.io. Cypress is a cutting-edge testing framework that makes testing JavaScript applications more frictionless. This training course is a rapid introduction to Cypress.io, covering basic and intermediate techniques for writing end-to-end test cases. Learn how to write a simple test, and then use aliases to optimize selections and beforeEach hooks to reduce repetitive code. Instructor Shaun Wassell also shows how to trigger other actions within tests, configure automatic retries, and debug any errors. The course wraps with a look at other useful Cypress commands and features, including intelligent code completion.",Course,2022-02-13 18:44 UTC,N/A,false,N/A,
Unix Essential Training,"Although it was developed in the 1970s, Unix remains an essential skill for anyone working in technology today, and serves as the backbone of many modern technologies like smartphones, streaming services, and supercomputers. In Unix Essential Training, Kevin Skoglund teaches Unix from the ground up, starting with the basics of the command line and the most important Unix commands. Regardless of whether you’re using Mac OS, Windows, or Linux, Kevin helps you unlock the powerful capabilities of Unix by walking you through how to use command-line syntax to perform common tasks such as file management, data entry, and text manipulation. By the end of the course, you’ll have tools that you can immediately apply to your own work.",Course,2022-12-07 15:13 UTC,N/A,false,N/A,
Java Memory Management,"By taking the time to learn how memory works in Java, you can avoid introducing problems in your code, as well as more effectively find and fix any memory errors that still occur. In this hands-on course, join instructor Matt Greencroft as he details how memory works in Java. Matt goes over essential concepts such as the roles of the stack and the heap, escaping references, garbage collection, detecting soft leaks, and more. Plus, he lends a real-world context to these concepts by demonstrating how to hunt for—and fix—a memory leak in a sample Java web application. While Matt works with Eclipse and Java 8 throughout the course, the material he covers is valid for any IDE and Java 6 and above.",Course,2021-03-25 08:37 UTC,N/A,false,N/A,
Level Up: SQL,"These concise (less than 3:30) SQL challenges let you stretch your brain and test your talents. Instructor Scott Simpson frames the challenges in real-world scenarios you might encounter. Tasks range from creating a table to store party guest information to creating a query to find books to feature for a library event.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.<br><br>Each installment of the <em>Level Up</em> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the ""Using GitHub Codespaces with this course"" video to learn how to get a codespace up and running.",Course,2022-12-07 15:16 UTC,N/A,false,N/A,
"Time Series Modeling in Excel, R, and Power BI","<p>The use of time series models has become a central topic in today’s data science world. In this course, instructor Helen Wall shows you how to run autoregressive integrated moving average (ARIMA) models as predictive, time series modeling tools in Excel, R, and Power BI.</p><p>Explore the building blocks of a time series decomposition, which lets you make data forecasts with accuracy, consistency, and ease. Take a deep dive into the fundamentals of autoregressive coefficients, autocorrelation, moving average coefficients, stationarity and random walks with integrated components, and how to forecast time series models using Power BI. By the end of this course, you’ll be ready to start wielding your new data analytics skills to make more timely and effective decisions for your business.</p>",Course,2024-03-03 06:22 UTC,N/A,false,N/A,
Objective-C Essential Training,"There are a lot of programming languages out there, but Objective-C is the best choice for developers who want to develop iOS and OS X apps. This course is your primer. Get the tools you need, learn the structure of Objective-C, and get your first code up and running. Author Simon Allardice also walks you through the Foundation framework, a collection of prewritten code that makes the coding process easier; shows you how to design and build your own classes; and provides memory management techniques—the key to efficient programming. Plus, learn how to make your way around Xcode 5, the app to write, test, and debug Objective-C, and into advanced features like categories, protocols, and dynamic typing.",Course,2020-07-13 21:50 UTC,N/A,false,N/A,
Learning ASP.NET,"ASP.NET boasts frameworks you can leverage to build robust web applications. In this course, Janan Siam helps you get up and running with this mature framework from Microsoft. Janan explores the framework and IDE, as well as the tools you need to manage data, build RESTful services, and establish real-time web connections. Learn how to build web applications with ASP.NET MVC, create dynamic web content with ASP.NET Web Pages and Razor syntax, work with ASP.NET SignalR, and more.",Course,2022-12-07 15:18 UTC,N/A,false,N/A,
